  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   320     1   0  8:33AM ??         0:33.30 /usr/libexec/audioclocksyncd
  202   322     1   0  8:33AM ??         0:00.03 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
    0   323     1   0  8:33AM ??         0:01.15 /usr/libexec/audioanalyticsd
  202   324     1   0  8:33AM ??         0:00.03 /System/Library/PrivateFrameworks/ZhuGeSupport.framework/Versions/A/XPCServices/ZhuGeService.xpc/Contents/MacOS/ZhuGeService
    0   325     1   0  8:33AM ??         0:02.36 /usr/sbin/WirelessRadioManagerd
    0   326     1   0  8:33AM ??         0:02.47 /usr/libexec/findmybeaconingd
    0   330     1   0  8:33AM ??         0:00.04 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  205   332     1   0  8:33AM ??         0:00.64 /usr/sbin/distnoted agent
  205   333     1   0  8:33AM ??         0:11.50 /usr/libexec/secinitd
  205   335     1   0  8:33AM ??         0:00.04 /usr/sbin/cfprefsd agent
    0   337     1   0  8:33AM ??         0:00.13 /private/var/db/com.apple.xpc.roleaccountd.staging/exec/16777229.6968594.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.UpdateBrainService
  270   338     1   0  8:33AM ??         0:00.03 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000bf7 com.apple.DriverKit-IOUserDockChannelSerial
    0   339     1   0  8:33AM ??         0:00.12 /usr/libexec/xpcroleaccountd -launchd
  270   340     1   0  8:33AM ??         0:00.35 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000bf8 com.apple.AppleUserHIDDrivers
    0   341     1   0  8:33AM ??         0:04.17 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  205   342     1   0  8:33AM ??         0:00.30 /usr/libexec/trustd --agent
    0   343     1   0  8:33AM ??         0:02.15 /System/Library/CoreServices/osanalyticshelper server-init
    0   344     1   0  8:33AM ??         0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
    0   345     1   0  8:33AM ??         3:28.04 /usr/libexec/wifip2pd
  205   346     1   0  8:33AM ??         0:00.29 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
    0   347     1   0  8:33AM ??         0:00.26 /usr/libexec/mobileactivationd
    0   349     1   0  8:33AM ??         1:33.60 /usr/libexec/searchpartyd
   89   351     1   0  8:33AM ??         0:00.62 /usr/sbin/distnoted agent
    0   352     1   0  8:33AM ??         0:00.62 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    0   353     1   0  8:33AM ??         0:00.06 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
    0   354     1   0  8:33AM ??         0:09.08 /usr/libexec/rtcreportingd
    0   355     1   0  8:33AM ??         0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  259   360     1   0  8:33AM ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
    0   362     1   0  8:33AM ??         0:00.28 /usr/sbin/systemsoundserverd
    0   363     1   0  8:33AM ??         0:00.97 /usr/sbin/BTLEServer
    0   364     1   0  8:33AM ??         0:00.15 /usr/libexec/wifianalyticsd
  262   365     1   0  8:33AM ??         0:02.12 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  262   366     1   0  8:33AM ??         0:00.05 /usr/libexec/secinitd
  262   367     1   0  8:33AM ??         0:00.05 /usr/sbin/cfprefsd agent
  262   368     1   0  8:33AM ??         0:00.36 /usr/libexec/trustd --agent
  262   369     1   0  8:33AM ??         0:00.07 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
    0   373     1   0  8:33AM ??         0:00.18 /usr/libexec/symptomsd-diag
    0   374     1   0  8:33AM ??         0:03.52 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  260   375     1   0  8:33AM ??         0:00.60 /usr/libexec/nfcd
  242   377     1   0  8:33AM ??         0:00.64 /usr/sbin/distnoted agent
  278   386     1   0  8:33AM ??         0:00.63 /usr/sbin/distnoted agent
    0   390     1   0  8:33AM ??         0:07.97 /usr/libexec/sysmond
    0   392     1   0  8:33AM ??         0:00.33 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
    0   393    96   0  8:33AM ??         0:00.21 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  265   394     1   0  8:33AM ??         0:02.11 /System/Library/PrivateFrameworks/CoreADI.framework/adid
    0   395     1   0  8:33AM ??         0:37.25 /usr/libexec/gamepolicyd
    0   399     1   0  8:33AM ??         0:00.23 /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced
  270   400     1   0  8:33AM ??         0:00.02 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000ca3 com.apple.IOUserBluetoothSerialDriver
  270   401     1   0  8:33AM ??         0:00.02 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000ca5 com.apple.IOUserBluetoothSerialDriver
    0   403     1   0  8:33AM ??         0:00.47 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  501   409     1   0  8:33AM ??         0:29.51 /usr/sbin/distnoted agent
  501   410     1   0  8:33AM ??         0:13.36 /usr/sbin/cfprefsd agent
    0   411     1   0  8:33AM ??         0:00.05 /usr/libexec/securityd_service
    0   412     1   0  8:33AM ??         0:00.05 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  501   413     1   0  8:33AM ??         0:07.19 /usr/libexec/UserEventAgent (Aqua)
  247   414     1   0  8:33AM ??         0:01.59 /usr/libexec/gamecontrollerd
  260   415     1   0  8:33AM ??         0:00.15 /usr/libexec/seld
  501   417     1   0  8:33AM ??         0:03.79 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  501   418     1   0  8:33AM ??         0:10.67 /usr/sbin/universalaccessd launchd -s
  501   419     1   0  8:33AM ??         0:00.02 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  501   420     1   0  8:33AM ??         0:00.52 /usr/libexec/pboard
  501   422     1   0  8:33AM ??         0:01.17 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  501   423     1   0  8:33AM ??         0:05.30 /usr/libexec/lsd
  501   424     1   0  8:33AM ??         0:10.86 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   425     1   0  8:33AM ??         0:00.10 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  501   426     1   0  8:33AM ??         0:03.75 /usr/sbin/usernoted
  501   427     1   0  8:33AM ??         0:09.56 /usr/libexec/knowledge-agent
  501   428     1   0  8:33AM ??         0:00.96 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   429     1   0  8:33AM ??         0:00.03 /System/Library/CoreServices/APFSUserAgent
  501   431     1   0  8:33AM ??         0:46.76 /usr/libexec/nsurlsessiond
  501   432     1   0  8:33AM ??         0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  501   433     1   0  8:33AM ??         0:30.39 /usr/libexec/rapportd
  501   434     1   0  8:33AM ??         0:27.76 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501   435     1   0  8:33AM ??         0:17.31 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501   436     1   0  8:33AM ??         0:20.91 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  501   437     1   0  8:33AM ??         0:12.95 /usr/libexec/secd
  501   438     1   0  8:33AM ??         0:00.75 /usr/libexec/secinitd
  501   439     1   0  8:33AM ??         0:06.86 /System/Library/CoreServices/lockoutagent
  501   440     1   0  8:33AM ??         0:03.18 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  501   441     1   0  8:33AM ??         0:07.84 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   442     1   0  8:33AM ??         0:25.80 /usr/libexec/trustd --agent
  501   443     1   0  8:33AM ??         0:19.78 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  501   444     1   0  8:33AM ??         0:00.36 /usr/libexec/dmd
  501   445     1   0  8:33AM ??         0:10.62 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  501   446     1   0  8:33AM ??         0:28.88 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   447     1   0  8:33AM ??         0:00.25 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  501   448     1   0  8:33AM ??         0:01.76 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  501   449     1   0  8:33AM ??         0:00.71 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  501   450     1   0  8:33AM ??         0:00.76 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  501   451     1   0  8:33AM ??         0:28.59 /System/Applications/Music.app/Contents/MacOS/Music
  501   452     1   0  8:33AM ??         0:02.01 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  501   453     1   0  8:33AM ??         0:02.98 /System/Library/CoreServices/talagent
  501   454     1   0  8:33AM ??         2:03.49 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
   55   455     1   0  8:33AM ??         0:00.64 /usr/sbin/distnoted agent
  501   456     1   0  8:33AM ??         0:08.08 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  501   457     1   0  8:33AM ??         0:02.20 /usr/libexec/transparencyd
  501   458     1   0  8:33AM ??         0:00.36 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  501   459     1   0  8:33AM ??         0:59.50 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501   460     1   0  8:33AM ??         0:02.93 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  501   461     1   0  8:33AM ??         1:38.01 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  501   462     1   0  8:33AM ??         0:01.85 /System/Library/CoreServices/sharedfilelistd
  501   463     1   0  8:33AM ??         3:06.93 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501   464     1   0  8:33AM ??         0:01.03 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   465     1   0  8:33AM ??         2:39.40 /Applications/Notion.app/Contents/MacOS/Notion
  501   466     1   0  8:33AM ??         0:02.10 /usr/libexec/pkd
  501   467     1   0  8:33AM ??         0:44.88 /System/Applications/Maps.app/Contents/MacOS/Maps
  501   468     1   0  8:33AM ??         1:27.18 /usr/libexec/sharingd
  501   469     1   0  8:33AM ??         0:23.13 /System/Applications/Notes.app/Contents/MacOS/Notes
  501   470     1   0  8:33AM ??         0:08.53 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  501   472     1   0  8:33AM ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  501   473     1   0  8:33AM ??         1:30.77 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501   474     1   0  8:33AM ??         0:03.61 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
    0   475     1   0  8:33AM ??         0:00.47 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  501   476     1   0  8:33AM ??         1:31.06 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501   479     1   0  8:33AM ??         0:00.04 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  501   480     1   0  8:33AM ??         0:04.17 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  501   481     1   0  8:33AM ??         0:29.09 /System/Library/Frameworks/Contacts.framework/Support/contactsd
